Title,Summary,Sentiment,Date Published
Looking Into Applied Digital's Recent Short Interest - Applied Digital  ( NASDAQ:APLD ) ,"Applied Digital's APLD short percent of float has risen 18.53% since its last report. The company recently reported that it has 24.09 million shares sold short, which is 12.73% of all regular shares that are available for trading.",0.05714285714285715,20240926T194516
"Zacks Investment Ideas feature highlights: TeraWulf, Core Scientific, Applied Digital and Nvidia","TeraWulf, Core Scientific, Applied Digital and Nvidia are part of the Zacks Investment Ideas article.",0.0,20240925T130000
"CORZ, WULF and APLD Stocks Set to Boom? Thank AI/ Bitcoin Data Centers","Data centers, AI, and Bitcoin mining are three fast-growing businesses bound to be multi-year megatrends. CORZ, WULF, and APLD are three companies that should benefit for years.",0.0,20240924T140400
"Applied Digital Sets Fiscal First Quarter 2025 Earnings Conference Call for Wednesday, October 9, 2024 at 5:00 p.m. Eastern Time","DALLAS, Sept. 23, 2024 ( GLOBE NEWSWIRE ) -- Applied Digital Corporation ( Nasdaq: APLD ) ( ""Applied Digital"" or the ""Company"" ) , a designer, builder and operator of next-generation digital infrastructure designed for High-Performance Computing ( ""HPC"" ) applications, will host a conference ...",0.0,20240923T120000
Applied Announces New Innovation Across Its Digital Agency Portfolio,"Chicago, IL., Sept. 11, 2024 ( GLOBE NEWSWIRE ) -- Applied Systems® today announced innovative enhancements across its Digital Agency® portfolio.",0.25,20240911T160000
 ( APLD )  - Analyzing Applied Digital's Short Interest - Applied Digital  ( NASDAQ:APLD ) ,"Applied Digital's APLD short percent of float has risen 5.7% since its last report. The company recently reported that it has 18.22 million shares sold short, which is 15.02% of all regular shares that are available for trading.",0.05714285714285715,20240910T194515
"Rubrik Reports Q2 Results, Joins Ionis Pharmaceuticals, Hewlett Packard Enterprise And Other Big Stocks Moving Lower In Tuesday's Pre-Market Session - Rubrik  ( NYSE:RBRK ) ","U.S. stock futures were slightly lower this morning, with the Dow futures falling around 0.1% on Tuesday. Shares of Rubrik, Inc. RBRK fell sharply in today's pre-market trading after reporting second-quarter results.",-0.14583333333333331,20240910T123224
Nvidia Invested in Applied Digital: Here's What Investors Need to Know About Nvidia's Latest Buy,"It might not be a big deal for Nvidia stock investors, but it sure is for Applied Digital shareholders.",0.16666666666666666,20240910T111100
Indonesia's licensing regime sparks 'monopolistic' market concerns,IADERN principal Tuhu Nugraha believes that the prolonged and complex registration process hampers growth and innovation in Indonesia's crypto ecosystem.,-0.3,20240910T103255
What the Options Market Tells Us About Applied Digital - Applied Digital  ( NASDAQ:APLD ) ,"Deep-pocketed investors have adopted a bearish approach towards Applied Digital APLD, and it's something market players shouldn't ignore. Our tracking of public options records at Benzinga unveiled this significant move today.",0.125,20240909T191537
"Terns Pharmaceuticals, Boeing, Tesla And Other Big Stocks Moving Higher On Monday - Tesla  ( NASDAQ:TSLA ) ","U.S. stocks were higher, with the Dow Jones index gaining around 400 points on Monday. Shares of Terns Pharmaceuticals, Inc. TERN rose sharply in today's pre-market trading session.",0.24166666666666667,20240909T141307
"Nvidia Invested in Applied Digital, and the Stock Price Soared by 65%",The investment will help Applied Digital build data centers optimized for high-performance computing.,0.0,20240909T133000
Applied Digital Corporation  ( APLD )  Soars 65.7%: Is Further Upside Left in the Stock?,Applied Digital Corporation (APLD) witnessed a jump in share price last session on above-average trading volume. The latest trend in earnings estimate revisions for the stock suggests that there could be more strength down the road.,0.1688888888888889,20240906T135900
Gold Moves Higher; Science Applications International Posts Upbeat Earnings - ChargePoint Hldgs  ( NYSE:CHPT ) ,"U.S. stocks traded mixed toward the end of trading, with the Nasdaq Composite gaining around 0.5% on Thursday. The Dow traded down 0.36% to 40,828.19 while the NASDAQ rose 0.53% to 17,174.66. The S&P 500 also fell, dropping, 0.08% to 5,515.76. Consumer discretionary shares climbed by 1.4% on ...",0.14814814814814814,20240905T183035
"G-III Apparel Posts Upbeat Results, Joins NIO, Yext, Shoe Carnival And Other Big Stocks Moving Higher On Thursday - G-III Apparel Group  ( NASDAQ:GIII ) ","U.S. stocks were mostly lower, with the Dow Jones index falling around 300 points on Thursday. Shares of G-III Apparel Group, Ltd. GIII rose sharply during Thursday's session after the company reported better-than-expected second-quarter adjusted EPS results and issued its FY25 guidance above ...",0.24375000000000002,20240905T174424
Dow Tumbles 1%; US Crude Oil Stocks Fall - Sify Technologies  ( NASDAQ:SIFY ) ,"U.S. stocks traded lower midway through trading, with the Dow Jones index falling over 1% on Thursday. The Dow traded down 1.10% to 40,525.28 while the NASDAQ fell 0.14% to 17,060.42. The S&P 500 also fell, dropping, 0.71% to 5,481.03. Consumer discretionary shares climbed by 0.8% on Thursday.",-0.15555555555555559,20240905T162659
"US Stocks Edge Higher; Jobless Claims Fall To 227,000 - Sify Technologies  ( NASDAQ:SIFY ) ","U.S. stocks traded slightly higher this morning, with the Nasdaq Composite gaining around 0.2% on Thursday. Following the market opening Thursday, the Dow traded up 0.06% to 41,000.33 while the NASDAQ rose 0.22% to 17,121.18. The S&P 500 also rose, gaining, 0.06% to 5,523.29.",0.3625,20240905T134212
Applied Digital Issues $53.2 Million Convertible Preferred Stock to Advance HPC Data Center Project and Accelerate Growth - Applied Digital  ( NASDAQ:APLD ) ,"DALLAS, Aug. 30, 2024 ( GLOBE NEWSWIRE ) -- Applied Digital Corporation APLD ( ""Applied Digital"" or the ""Company"" ) , a designer, builder, and operator of next-generation digital infrastructure designed for High-Performance Computing ( ""HPC"" ) applications, today announced it has entered into a ...",0.0,20240830T200500
Applied Digital Issues $53.2 Million Convertible Preferred Stock to Advance HPC Data Center Project and Accelerate Growth,"DALLAS, Aug. 30, 2024 ( GLOBE NEWSWIRE ) -- Applied Digital Corporation ( Nasdaq: APLD ) ( ""Applied Digital"" or the ""Company"" ) , a designer, builder, and operator of next-generation digital infrastructure designed for High-Performance Computing ( ""HPC"" ) applications, today announced it has ...",0.0,20240830T200500
"Bitcoin And Ethereum Recover From FTX Collapse, MicroStrategy Outperforms; Nvidia Pre-Earnings Showdown Spurs Trading - Top Headlines Today While US Slept","Donald Trump's Fourth NFT Collection Has Generated Over $2M In Sales In Just 1 Day Bitcoin, Ethereum Have Left FTX Collapse Behind, But MicroStrategy Has Outperformed: Report Nvidia ETFs Split In Pre-Market After Jensen Huang-Led Chip Giant Exceeds Q2 Expectations",-0.1,20240829T140805
"Guess?, Nvidia, Pure Storage, Applied Digital And Other Big Stocks Moving Lower In Thursday's Pre-Market Session - Guess  ( NYSE:GES ) ","U.S. stock futures were higher this morning, with the Dow futures gaining around 200 points on Thursday. Shares of Guess?, Inc. GES fell sharply in today's pre-market trading after the company reported worse-than-expected second-quarter adjusted EPS results and cut its FY25 adjusted EPS guidance ...",0.0625,20240829T121311
Why Affirm Shares Are Trading Higher By Around 18%; Here Are 20 Stocks Moving Premarket - Affirm Holdings  ( NASDAQ:AFRM ) ,"Shares of Affirm Holdings, Inc. AFRM rose sharply in today's pre-market trading following strong fourth-quarter earnings and upbeat first-quarter guidance. Affirm reported quarterly losses of 14 cents per share, which beat the analyst consensus estimate of losses of 51 cents per share.",0.2270833333333333,20240829T093719
"Applied Digital Corporation  ( APLD )  Reports Q4 Loss, Tops Revenue Estimates","Applied Digital Corporation (APLD) delivered earnings and revenue surprises of -126.09% and 2.34%, respectively, for the quarter ended May 2024. Do the numbers hold clues to what lies ahead for the stock?",0.0,20240828T213002
Applied Digital Reports Fiscal Fourth Quarter and Full Year 2024 Results,"DALLAS, Aug. 28, 2024 ( GLOBE NEWSWIRE ) -- Applied Digital Corporation ( Nasdaq: APLD ) ( ""Applied Digital"" or the ""Company"" ) , a designer, builder, and operator of next-generation digital infrastructure designed for high-performance computing ( ""HPC"" ) applications, cloud services ( ""Cloud ...",0.0,20240828T201500
"2024 Gateway Conference to Feature AI, Blockchain, and Digital Infrastructure Track on September 5th - Applied Digital  ( NASDAQ:APLD ) , Bit Digital  ( NASDAQ:BTBT ) ","NEWPORT BEACH, Calif., Aug. 20, 2024 ( GLOBE NEWSWIRE ) -- Gateway Group ( ""Gateway"" ) , a leading financial communications and digital media advisory firm, today announced the presenting company lineup for the Artificial Intelligence ( AI ) , Blockchain, and Digital Infrastructure Track at the ...",-0.16,20240820T201500
"BTCS Inc.  ( BTCS )  Reports Q2 Loss, Tops Revenue Estimates","BTCS Inc. (BTCS) delivered earnings and revenue surprises of 0% and 40.25%, respectively, for the quarter ended June 2024. Do the numbers hold clues to what lies ahead for the stock?",0.0,20240819T223503
"Liquidia, Shake Shack And Other Big Stocks Moving Lower In Monday's Pre-Market Session - Liquidia  ( NASDAQ:LQDA ) ","U.S. stock futures were slightly higher this morning, with the S&P 500 futures gaining around 0.1% on Monday. Shares of Liquidia Corporation LQDA fell sharply in today's pre-market trading.",0.0625,20240819T122736
"Bitcoin Depot Inc.  ( BTM )  Reports Q2 Loss, Tops Revenue Estimates","Bitcoin Depot Inc. (BTM) delivered earnings and revenue surprises of -533.33% and 9.81%, respectively, for the quarter ended June 2024. Do the numbers hold clues to what lies ahead for the stock?",0.0,20240815T223502
"Sachem Capital Corp.  ( SACH )  Reports Q2 Loss, Misses Revenue Estimates","Sachem Capital (SACH) delivered earnings and revenue surprises of -181.82% and 6.16%, respectively, for the quarter ended June 2024. Do the numbers hold clues to what lies ahead for the stock?",0.0,20240814T122004
Invesco Mortgage Capital  ( IVR )  Q2 Earnings Beat Estimates,"Invesco Mortgage Capital (IVR) delivered earnings and revenue surprises of 14.67% and 6.85%, respectively, for the quarter ended June 2024. Do the numbers hold clues to what lies ahead for the stock?",0.0,20240808T215006
"FlexShopper Inc.  ( FPAY )  Reports Q2 Loss, Tops Revenue Estimates","FlexShopper (FPAY) delivered earnings and revenue surprises of 13.33% and 2.45%, respectively, for the quarter ended June 2024. Do the numbers hold clues to what lies ahead for the stock?",0.0,20240806T231004
MARA Announces Bitcoin Production and Mining Operation Updates for July 2024,"201 Blocks Won in July, 27% Increase M/MBTC Production of 692 BTC, 17% Increase M/MIncreased BTC Holdings to 20,818 BTC. Total Cash and BTC of $1.6B as of July ...",0.0,20240806T120500
"Why Kellanova Shares Are Trading Higher By Around 15%; Here Are 20 Stocks Moving Premarket - XIAO-I  ( NASDAQ:AIXI ) , Applied Digital  ( NASDAQ:APLD ) ","Shares of Kellanova K rose sharply in today's pre-market trading following a report suggesting Mars is considering an acquisition of the company. Kellanova shares jumped 14.5% to $72.10 in pre-market trading. Here are some other stocks moving in pre-market trading. MGO Global, Inc.",0.06999999999999999,20240805T125432
"MicroStrategy, Cipher Mining, TeraWulf And Other Big Stocks Moving Lower In Monday's Pre-Market Session - MicroStrategy  ( NASDAQ:MSTR ) ","U.S. stock futures were lower this morning, with the Dow futures falling around 700 points on Monday. Shares of MicroStrategy Incorporated MSTR fell sharply in today's pre-market trading amid a sharp decline in Bitcoin prices. MicroStrategy shares dipped 17.2% to $1,199.52 in pre-market trading.",-0.125,20240805T103914
"Marathon Digital Q2 Earnings: Revenue Miss, Hash Rate Up 78%, More Than 20K Bitcoin On Balance Sheet And More - Marathon Digital Holdings  ( NASDAQ:MARA ) ","Marathon Digital Holdings Inc MARA reported financial results for the second quarter Thursday after the bell. Here's a rundown of the report. Q2 Earnings: Marathon Digital reported second-quarter revenue of $145.14 million, missing the consensus estimate of $157.84 million, according to Benzinga ...",-0.04,20240801T213139
MARA Reports Second Quarter 2024 Results,"- Revenues Increase 78% to $145.1 Million- Fair Market Value Loss of $148.0 Million, Resulting in Net Loss of $199.7 Million, or $0.72 Loss per Diluted Share- Adjusted EBITDA Decreases to a Loss of $85.1 Million ...",0.35,20240801T203500
PRISM MarketView Launches AI Infrastructure and Datacenter Index,"NEW YORK, Aug. 01, 2024 ( GLOBE NEWSWIRE ) -- PRISM MarketView, a leading provider of unbiased market insight and company news, today announces the launch of its PRISM Emerging AI Infrastructure and Datacenter Index in response to significant global growth and interest in AI technology.",0.17045454545454544,20240801T120000
Applied Digital Secures Final $25 Million from Garden City Facility Sale - Applied Digital  ( NASDAQ:APLD ) ,"DALLAS, July 30, 2024 ( GLOBE NEWSWIRE ) -- Applied Digital Corporation APLD ( ""Applied Digital"" or the ""Company"" ) , a designer, builder, and operator of next-generation digital infrastructure designed for High-Performance Computing ( HPC ) applications, announced today that it has met the ...",0.0,20240730T204040
Applied Digital Secures Final $25 Million from Garden City Facility Sale,"DALLAS, July 30, 2024 ( GLOBE NEWSWIRE ) -- Applied Digital Corporation ( Nasdaq: APLD ) ( ""Applied Digital"" or the ""Company"" ) , a designer, builder, and operator of next-generation digital infrastructure designed for High-Performance Computing ( HPC ) applications, announced today that it has ...",0.0,20240730T204000
Lazard  ( LAZ )  Q2 Earnings and Revenues Beat Estimates,"Lazard (LAZ) delivered earnings and revenue surprises of 30% and 5.89%, respectively, for the quarter ended June 2024. Do the numbers hold clues to what lies ahead for the stock?",0.0,20240725T114008
Moody's  ( MCO )  Earnings Expected to Grow: What to Know Ahead of Next Week's Release,Moody's (MCO) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,0.07142857142857142,20240716T140043
Earnings Preview: Applied Digital Corporation  ( APLD )  Q4 Earnings Expected to Decline,Applied Digital Corporation (APLD) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,0.05714285714285714,20240715T140013
Peering Into Applied Digital's Recent Short Interest - Applied Digital  ( NASDAQ:APLD ) ,"Applied Digital's APLD short percent of float has risen 17.35% since its last report. The company recently reported that it has 19.60 million shares sold short, which is 17.52% of all regular shares that are available for trading.",0.05714285714285715,20240711T131517
"SMART Global Posts Upbeat Results, Joins Aehr Test Systems, MarineMax And Other Big Stocks Moving Higher On Wednesday - SMART Glb Hldgs  ( NASDAQ:SGH ) ","U.S. stocks were mostly higher, with the Nasdaq Composite gaining around 0.4% on Wednesday. Shares of SMART Global Holdings, Inc. SGH rose sharply during Wednesday's session after the company reported better-than-expected third-quarter financial results.",0.15654761904761905,20240710T144849
Crypto Miners Get AI Boost; Billionaires Bandy Bitcoin Talk On X,Crypto Miners Get AI Boost. Billionaires Bandy Bitcoin Talk On X Forbes ...,0.0,20240708T190157
"Bitfarms, TeraWulf And Other Big Stocks Moving Lower In Friday's Pre-Market Session - Bitfarms  ( NASDAQ:BITF ) ","U.S. stock futures were mixed this morning, with the Nasdaq futures gaining around 0.2% on Friday. Shares of Bitfarms Ltd. BITF fell sharply in today's pre-market trading amid weakness in Bitcoin BTC/USD. Bitcoin prices tumbled 4% to $55,377 on Friday. Bitfarms shares dipped 7.6% to $2.32 in ...",-0.0625,20240705T121820
Why Sharps Technology Shares Are Trading Higher By Around 32%; Here Are 20 Stocks Moving Premarket - Sharps Technology  ( NASDAQ:STSS ) ,"Shares of Sharps Technology, Inc. STSS rose sharply in today's pre-market trading after the company announced it received two purchase orders for a total of approximately one million SecureGard syringes for 2024 delivery. Sharps Technology shares jumped 31.7% to $0.3030 in pre-market trading.",0.01874999999999999,20240705T094231
Why These Bitcoin Miners Are Becoming Summer's Hot AI Stocks,"Crypto miners are harnessing their advanced equipment and low-cost energy for the burgeoning artificial intelligence sector. As the demand for computational power soars, these miners are uniquely positioned to profit from the AI boom. nergy has become the hot commodity in the artificial ...",-0.03499999999999999,20240701T103000
"KB Home Reports Upbeat Earnings, Joins Harrow, Accenture, Gilead Sciences And Other Big Stocks Moving Higher On Thursday - KB Home  ( NYSE:KBH ) ","U.S. stocks were mixed, with the Dow Jones index gaining around 150 points on Thursday. Shares of KB Home KBH rose during Thursday's session as the company posted better-than-expected earnings and sales results for its second quarter on Tuesday.",0.19999999999999998,20240620T142123
Peering Into Applied Digital's Recent Short Interest - Applied Digital  ( NASDAQ:APLD ) ,"Applied Digital's APLD short percent of float has fallen 6.56% since its last report. The company recently reported that it has 19.15 million shares sold short, which is 16.81% of all regular shares that are available for trading.",0.05714285714285715,20240618T161513
